network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,WA,stampede pass ,Sunday Creek (171100130103),1979-10-01,2023-05-07,47.27,-121.34,1173,King,788
SNTL,WA,stevens pass ,Upper Tye River (171100090102),1979-10-01,2023-05-07,47.75,-121.09,1204,King,791
SNTL,WA,touchet ,Wolf Creek (170701020303),1979-10-01,2023-05-07,46.12,-117.85,1686,Columbia,824
SNTL,WA,upper wheeler ,Stemilt Creek (170200100310),1979-10-01,2023-05-07,47.29,-120.37,1320,Chelan,841
SNTL,WA,white pass e.s. ,Clear Creek (170300020301),1979-10-01,2023-05-07,46.64,-121.38,1353,Yakima,863
SNTL,WY,base camp ,Berry Creek (170401010304),1979-10-01,2023-05-07,43.94,-110.45,2152,Teton,314
SNTL,WY,bear trap meadow ,Upper North Fork Red Fork Powder River (100902010205),1979-10-01,2023-05-07,43.89,-107.06,2499,Johnson,325
SNTL,WY,beartooth lake ,Beartooth Creek (100700060206),1979-10-01,2023-05-07,44.94,-109.57,2853,Park,326
SNTL,WY,blackwater ,Lower Elk Fork (100800120209),1979-10-01,2023-05-07,44.38,-109.79,2981,Park,350
SNTL,WY,burgess junction ,Lower East Fork Big Goose Creek (100901010202),1979-10-01,2023-05-07,44.79,-107.53,2402,Sheridan,377
SNTL,WY,divide peak ,Cottonwood Creek-Little Snake River (140500030203),1979-10-01,2023-05-07,41.3,-107.15,2661,Carbon,449
SNTL,WY,evening star ,Table Creek-Clarks Fork Yellowstone River (100700060301),1979-10-01,2023-05-07,44.65,-109.78,2804,Park,472
SNTL,WY,hansen sawmill ,Upper South Clear Creek (100902060101),1979-10-01,2023-05-07,44.26,-106.98,2548,Johnson,512
SNTL,WY,indian creek ,Middle Dry Muddy Creek (140401070502),1979-10-01,2023-05-07,42.3,-110.68,2873,Lincoln,544
SNTL,WY,kirwin ,Bonne Creek-Greybull River (100800090101),1979-10-01,2023-05-07,43.86,-109.32,2911,Park,560
SNTL,WY,loomis park ,Tosi Creek (140401010201),1979-10-01,2023-05-07,43.17,-110.14,2512,Sublette,597
SNTL,WY,marquette ,Carter Creek-South Fork Shoshone River (100800130303),1979-10-01,2023-05-07,44.3,-109.24,2670,Park,616
SNTL,WY,owl creek ,Dry Cottonwood Creek (100800070103),1979-10-01,2023-05-07,43.66,-109.01,2736,Hot Springs,676
SNTL,WY,parker peak ,Sour Creek (100700010502),1979-10-01,2023-05-07,44.73,-109.91,2865,Park,683
SNTL,WY,reno hill ,Mountain Home Number 1 Reservoir-North Platte River (101800070901),1979-10-01,2023-05-07,42.57,-106.09,2569,Natrona,716
SNTL,WY,sand lake ,Turpin Creek-Medicine Bow River (101800040101),1979-10-01,2023-05-07,41.46,-106.28,3078,Carbon,731
SNTL,WY,snider basin ,Upper South Piney Creek (140401010906),1980-09-01,2023-05-07,42.49,-110.53,2457,Sublette,765
SNTL,WY,townsend creek ,Sand Creek (100800030203),1979-10-01,2023-05-07,42.7,-108.9,2652,Fremont,826
SNTL,WY,two ocean plateau ,De Lacy Creek (170401010201),1979-10-01,2023-05-07,44.15,-110.22,2816,Teton,837
SNTL,WY,willow creek ,Tygee Creek (170401050204),1979-10-01,2023-05-07,42.82,-110.84,2463,Lincoln,868
SNTL,WY,windy peak ,Middle Bear Creek (101800080802),1979-10-01,2023-05-07,42.28,-105.58,2412,Albany,872
SNTL,WY,wolverine ,Crazy Creek (100700060104),1979-10-01,2023-05-07,44.8,-109.66,2332,Park,875
SNTL,WY,younts peak ,East Fork Creek (100800130103),1979-10-01,2023-05-07,43.93,-109.82,2545,Park,878
SNTL,AK,indian pass ,Headwaters Ship Creek (190204010402),1978-10-01,2023-05-07,61.07,-149.48,716,Anchorage,946
SNTL,AZ,coronado trail ,Coleman Creek (150400040501),1978-10-01,2023-05-07,33.8,-109.15,2566,Apache,416
SNTL,AZ,fry ,Fry Canyon (150602020501),1978-10-01,2023-05-07,35.07,-111.84,2206,Coconino,488
SNTL,CA,ebbetts pass ,Silver Creek (160502010104),1978-10-01,2023-05-07,38.55,-119.8,2640,Alpine,462
SNTL,CA,hagans meadow ,Trout Creek (160501010302),1978-10-01,2023-05-07,38.85,-119.94,2360,El Dorado,508
SNTL,CA,heavenly valley ,Trout Creek (160501010302),1978-10-01,2023-05-07,38.92,-119.92,2601,El Dorado,518
