network,state,site_name,description,start,end,latitude,longitude,elev,county,site_id
SNTL,UT,monte cristo ,Sheep Creek (160102030201),1978-10-01,2023-05-07,41.47,-111.5,2722,Cache,634
SNTL,UT,mosby mtn. ,Mosby Sink-Dry Fork (140600100702),1978-10-01,2023-05-07,40.61,-109.89,2912,Uintah,643
SNTL,UT,parleys summit ,Big Dutch Hollow-East Canyon Creek (160201020103),1978-10-01,2023-05-07,40.76,-111.63,2312,Summit,684
SNTL,UT,pickle keg ,Skumpah Creek-Salina Creek (160300030402),1978-10-01,2023-05-07,39.01,-111.58,2749,Sevier,691
SNTL,UT,red pine ridge ,Lowry Water (140600090202),1978-10-01,2023-05-07,39.45,-111.27,2740,Emery,714
SNTL,UT,seeley creek ,Seely Creek (140600090203),1978-10-01,2023-05-07,39.31,-111.43,3019,Sanpete,742
SNTL,UT,smith  morehouse ,Moffit Creek-Weber River (160201010203),1978-10-01,2023-05-07,40.79,-111.09,2326,Summit,763
SNTL,UT,steel creek park ,West Fork Smiths Fork (140401070203),1978-10-01,2023-05-07,40.91,-110.5,3096,Summit,790
SNTL,UT,strawberry divide ,Mud Creek (140600040103),1978-10-01,2023-05-07,40.16,-111.21,2476,Wasatch,795
SNTL,UT,timpanogos divide ,Middle American Fork Canyon (160202010802),1978-10-01,2023-05-07,40.43,-111.62,2481,Utah,820
SNTL,UT,tony grove lake ,Tony Grove Creek (160102030304),1978-10-01,2023-05-07,41.9,-111.63,2583,Cache,823
SNTL,UT,trial lake ,Spring Canyon-Provo River (160202030102),1978-10-01,2023-05-07,40.68,-110.95,3046,Summit,828
SNTL,UT,trout creek ,North Fork Ashley Creek (140600100802),1978-10-01,2023-05-07,40.74,-109.67,2901,Uintah,833
SNTL,UT,vernon creek ,Vernon Creek (160203040102),1978-10-01,2023-05-07,39.94,-112.41,2256,Tooele,844
SNTL,UT,white river #1 ,Right Fork White River (140600070102),1978-10-01,2023-05-07,39.96,-110.99,2634,Wasatch,864
SNTL,UT,widtsoe #3 ,Sweetwater Creek (160300020403),1978-10-01,2023-05-07,37.84,-111.88,2938,Garfield,865
SNTL,UT,wilbur bench ,Left Fork Indian Canyon (140600040701),1978-10-01,2023-05-07,39.89,-110.75,2795,Duchesne,543
SNTL,WA,bumping ridge ,Upper Bumping River (170300020105),1978-10-01,2023-05-07,46.81,-121.33,1405,Yakima,375
SNTL,WA,lone pine ,Upper Clear Creek (170800020203),1978-10-01,2023-05-07,46.27,-121.96,1198,Skamania,591
SNTL,WA,lyman lake ,Upper Railroad Creek (170200090203),1978-10-01,2023-05-07,48.2,-120.92,1823,Chelan,606
SNTL,WA,morse lake ,Upper American River (170300020106),1978-10-01,2023-05-07,46.91,-121.48,1649,Yakima,642
SNTL,WA,park creek ridge ,Park Creek-Stehekin River (170200090106),1978-10-01,2023-05-07,48.44,-120.92,1402,Chelan,681
SNTL,WA,surprise lakes ,Big Creek (170800020107),1978-10-01,2023-05-07,46.09,-121.76,1308,Skamania,804
SNTL,WA,trough ,Colockum Creek (170200100402),1978-10-01,2023-05-07,47.23,-120.29,1670,Kittitas,832
SNTL,WY,blind bull sum ,Forty Rod Creek (140401010402),1978-10-01,2023-05-07,42.96,-110.61,2637,Sublette,353
SNTL,WY,bone springs div ,Granite Creek-Shell Creek (100800100102),1978-10-01,2023-05-07,44.68,-107.58,2850,Sheridan,358
SNTL,WY,burroughs creek ,West Du Noir Creek (100800010102),1978-10-01,2023-05-07,43.7,-109.67,2667,Fremont,379
SNTL,WY,cloud peak reservoir ,Upper South Piney Creek (100902060301),1978-10-01,2023-05-07,44.4,-107.06,3005,Johnson,402
SNTL,WY,dome lake ,Lower North Tongue River (100901010102),1978-10-01,2023-05-07,44.57,-107.3,2707,Sheridan,451
SNTL,WY,hobbs park ,Lower Middle Popo Agie River (100800030207),1978-10-01,2023-05-07,42.87,-109.09,3078,Fremont,525
SNTL,WY,laprele creek ,Upper Sage Creek (101800071201),1978-10-01,2023-05-07,42.44,-105.86,2557,Converse,571
SNTL,WY,little warm ,Little Warm Spring Creek-Wind River (100800010212),1978-10-01,2023-05-07,43.5,-109.75,2856,Fremont,585
SNTL,WY,middle powder ,Little Canyon Creek (100800080205),1978-10-01,2023-05-07,43.63,-107.18,2365,Washakie,625
SNTL,WY,shell creek ,Willett Creek-Shell Creek (100800100101),1978-10-01,2023-05-07,44.5,-107.43,2920,Big Horn,751
SNTL,WY,spring creek divide ,Spring Creek-Green River (140401011001),1978-10-01,2023-05-07,42.53,-110.66,2743,Sublette,779
SNTL,WY,sucker creek ,West Fork Big Goose Creek (100901010203),1978-10-01,2023-05-07,44.72,-107.4,2707,Sheridan,798
SNTL,WY,sylvan lake ,Chipmunk Creek (100700010404),1978-10-01,2023-05-07,44.48,-110.16,2566,Park,806
SNTL,CA,cedar pass ,Thoms Creek (180200020603),1977-10-01,2023-05-07,41.58,-120.3,2143,Modoc,391
SNTL,ID,mores creek summit ,Middle Crooked River (170501110503),1978-09-01,2023-05-07,43.93,-115.67,1859,Boise,637
SNTL,MT,mule creek ,Birch Creek (100200041303),1977-10-01,2023-05-07,45.41,-112.96,2530,Beaverhead,656
SNTL,MT,nevada ridge ,Poorman Creek (170102030302),1977-10-01,2023-05-07,46.84,-112.51,2140,Lewis And Clark,903
SNTL,UT,clear creek #1 ,Upper Soldier Creek (160202020102),1978-01-01,2023-05-07,39.87,-111.28,2736,Utah,399
SNTL,MT,barker lakes ,Warm Springs Creek-West Valley (170102010304),1977-08-01,2023-05-07,46.1,-113.13,2515,Deer Lodge,313
SNTL,MT,basin creek ,Basin Creek (170102010201),1976-10-01,2023-05-07,45.8,-112.52,2188,Silver Bow,315
SNTL,MT,beagle springs ,Upper Nicholia Creek (100200010501),1976-10-01,2023-05-07,44.47,-112.98,2697,Beaverhead,318
SNTL,MT,bloody dick ,Upper Bloody Dick Creek (100200011002),1976-10-01,2023-05-07,45.17,-113.5,2316,Beaverhead,355
SNTL,MT,boulder mountain ,Upper Camas Creek (100301030501),1976-10-01,2023-05-07,46.56,-111.29,2423,Meagher,360
SNTL,MT,box canyon ,Headwaters Boulder River (100700020902),1976-10-01,2023-05-07,45.27,-110.25,2033,Park,363
SNTL,MT,daisy peak ,Mud Creek (100402010106),1977-09-01,2023-05-07,46.67,-110.33,2316,Meagher,919
SNTL,MT,darkhorse lake ,Headwaters Big Hole River (100200040301),1977-08-01,2023-05-07,45.17,-113.58,2726,Beaverhead,436
SNTL,MT,hand creek ,Squaw Meadows Creek (170102100304),1976-10-01,2023-05-07,48.31,-114.84,1535,Flathead,510
SNTL,MT,lower twin ,Upper North Meadow Creek (100200071101),1976-10-01,2023-05-07,45.51,-111.92,2408,Madison,603
SNTL,MT,many glacier ,Swiftcurrent Lake (090400010201),1976-10-01,2023-05-07,48.8,-113.67,1494,Glacier,613
SNTL,MT,monument peak ,Headwaters Boulder River (100700020902),1976-10-01,2023-05-07,45.22,-110.24,2697,Park,635
SNTL,MT,pickfoot creek ,Upper Camas Creek (100301030501),1977-06-01,2023-05-07,46.58,-111.27,2027,Meagher,690
SNTL,MT,placer basin ,Upper East Boulder River (100700020701),1976-10-01,2023-05-07,45.42,-110.09,2691,Sweet Grass,696
SNTL,MT,warm springs ,Headwaters Warm Springs Creek (170102010302),1977-07-01,2023-05-07,46.27,-113.16,2377,Granite,850
SNTL,NV,pole creek r.s. ,Upper Big Flat Creek (170501021002),1977-02-01,2023-05-07,41.87,-115.25,2548,Elko,698
SNTL,MT,emery creek ,Hungry Horse Creek (170102090703),1975-10-01,2023-05-07,48.43,-113.94,1326,Flathead,469
SNTL,MT,porcupine ,Porcupine Creek (100700030303),1975-10-01,2023-05-07,46.11,-110.47,1981,Park,700
SNTL,NV,bear creek ,West Fork Pine Creek-Jarbidge River (170501020301),1976-03-01,2023-05-07,41.83,-115.45,2451,Elko,321
SNTL,WY,bald mtn. ,Commissary Creek-Crooked Creek (100800100501),1975-10-01,2023-05-07,44.8,-107.84,2859,Big Horn,309
SNTL,WY,gros ventre summit ,Cottonwood Creek (170401020203),1976-04-01,2023-05-07,43.39,-110.13,2667,Teton,506
SNTL,WY,phillips bench ,Sheep Creek (170401030504),1976-03-01,2023-05-07,43.52,-110.91,2499,Teton,689
SNTL,WY,south brush creek ,Henry Creek-Big Creek (101800020303),1976-02-01,2023-05-07,41.33,-106.5,2589,Carbon,772
SNTL,WY,webber springs ,North Fork Encampment River (101800020406),1976-02-01,2023-05-07,41.16,-106.93,2822,Carbon,852
SNTL,MT,calvert creek ,Fishtrap Creek (100200040801),1974-10-01,2023-05-07,45.88,-113.33,1960,Deer Lodge,381
SNTL,AK,mt. alyeska ,Glacier Creek (190203020702),1971-10-01,2023-05-07,60.96,-149.09,469,Anchorage,1103
SNTL,MT,clover meadow ,Ruby Creek (100200070803),1971-10-01,2023-05-07,45.02,-111.85,2621,Madison,403
SNTL,MT,tepee creek ,Middle West Fork Madison River (100200070602),1971-10-01,2023-05-07,44.79,-111.71,2438,Madison,813
SNTL,NM,frisco divide ,Stone Creek-San Francisco River (150400040303),1971-10-01,2023-05-07,33.74,-108.94,2442,Catron,486
SNTL,AZ,white horse lake ,Upper Hell Canyon (150602020204),1970-11-01,2023-05-07,35.14,-112.15,2195,Coconino,861
SNTL,MT,divide ,Headwaters Ruby River (100200030102),1971-01-01,2023-05-07,44.79,-112.06,2377,Madison,448
SNTL,MT,lemhi ridge ,Trail Creek (100200011106),1971-01-01,2023-05-07,44.99,-113.44,2469,Beaverhead,576
SNTL,MT,lubrecht flume ,Placid Lake (170102031204),1970-10-01,2023-05-07,46.88,-113.32,1426,Missoula,604
SNTL,MT,flattop mtn. ,McDonald Creek Headwaters (170102070501),1969-10-01,2023-05-07,48.8,-113.86,1920,Flathead,482
SNTL,MT,badger pass ,North Badger Creek (100302010201),1968-10-01,2023-05-07,48.13,-113.02,2103,Pondera,307
SNTL,MT,banfield mountain ,Bristow Creek (170101011202),1968-10-01,2023-05-07,48.57,-115.45,1707,Lincoln,311
SNTL,MT,garver creek ,Upper West Fork Yaak River (170101030202),1968-10-01,2023-05-07,48.98,-115.82,1295,Lincoln,918
SNTL,MT,grave creek ,Upper Grave Creek (170101010801),1968-10-01,2023-05-07,48.91,-114.77,1311,Flathead,500
SNTL,MT,hawkins lake ,South Fork Hawkins Creek-Hawkins Creek (170101050201),1968-10-01,2023-05-07,48.97,-115.95,1966,Lincoln,516
SNTL,MT,mount lockhart ,Middle North Fork Teton River (100302050102),1968-10-01,2023-05-07,47.92,-112.82,1951,Teton,649
SNTL,MT,poorman creek ,Upper Libby Creek (170101011301),1968-10-01,2023-05-07,48.13,-115.62,1554,Lincoln,932
SNTL,MT,stahl peak ,Upper Grave Creek (170101010801),1968-10-01,2023-05-07,48.91,-114.86,1838,Lincoln,787
SNTL,MT,waldron ,Middle North Fork Teton River (100302050102),1968-10-01,2023-05-07,47.92,-112.79,1707,Teton,847
SNTL,MT,black bear ,Madison Arm-Madison River (100200070202),1967-10-01,2023-05-07,44.51,-111.13,2490,Gallatin,347
SNTL,MT,frohner meadow ,Lump Gulch (100301011305),1967-10-01,2023-05-07,46.44,-112.19,1975,Jefferson,487
SNTL,MT,madison plateau ,Middle South Fork Madison River (100200070204),1967-10-01,2023-05-07,44.59,-111.12,2362,Gallatin,609
SNTL,MT,n fk elk creek ,Placid Lake (170102031204),1967-10-01,2023-05-07,46.87,-113.28,1905,Powell,657
SNTL,MT,nez perce camp ,Nez Pierce Fork-Nelson Lake (170102050204),1967-10-01,2023-05-07,45.73,-114.48,1722,Ravalli,662
SNTL,MT,rocker peak ,Cataract Creek (100200060302),1967-10-01,2023-05-07,46.36,-112.26,2438,Jefferson,722
SNTL,MT,rocky boy ,Upper Beaver Creek (100500040101),1967-10-01,2023-05-07,48.17,-109.65,1433,Hill,917
SNTL,MT,saddle mtn. ,Camp Creek (170102050502),1967-10-01,2023-05-07,45.69,-113.97,2420,Beaverhead,727
SNTL,MT,twelvemile creek ,Lost Horse Creek (170102050601),1967-10-01,2023-05-07,46.14,-114.45,1707,Ravalli,835
SNTL,MT,twin lakes ,Lost Horse Creek (170102050601),1967-10-01,2023-05-07,46.14,-114.51,1951,Ravalli,836
SNTL,MT,whiskey creek ,Upper South Fork Madison River (100200070203),1967-10-01,2023-05-07,44.61,-111.15,2073,Gallatin,858
SNTL,AK,long lake ,190102060505-Dawes Glacier (190102060505),1966-10-01,2023-05-07,58.19,-133.83,259,Juneau,1001
SNTL,MT,beaver creek ,Upper Beaver Creek (100200070402),1966-10-01,2023-05-07,44.95,-111.36,2393,Gallatin,328
SNTL,MT,carrot basin ,Specimen Creek (100200080105),1966-10-01,2023-05-07,44.96,-111.29,2743,Gallatin,385
SNTL,MT,crystal lake ,Big Rock Creek (100401030204),1967-09-01,2023-05-07,46.79,-109.51,1844,Fergus,427
SNTL,MT,daly creek ,Daly Creek (170102050901),1966-10-01,2023-05-07,46.18,-113.85,1762,Ravalli,433
SNTL,MT,deadman creek ,Headwaters Sheep Creek (100301030401),1966-10-01,2023-05-07,46.79,-110.68,1966,Meagher,437
SNTL,MT,fisher creek ,Hoodoo Creek (100700060202),1966-10-01,2023-05-07,45.06,-109.94,2774,Park,480
SNTL,MT,hoodoo basin ,Upper Trout Creek (170102040607),1966-10-01,2023-05-07,46.98,-115.03,1844,Mineral,530
SNTL,MT,skalkaho summit ,Middle West Fork Ross Creek (170102021003),1966-10-01,2023-05-07,46.24,-113.77,2210,Granite,760
SNTL,MT,spur park ,Cleveland Creek (100401030301),1966-10-01,2023-05-07,46.78,-110.62,2469,Judith Basin,781
SNTL,MT,west yellowstone ,Lower South Fork Madison River (100200070205),1966-10-01,2023-05-07,44.66,-111.09,2042,Gallatin,924
SNTL,MT,white mill ,Hoodoo Creek (100700060202),1966-10-01,2023-05-07,45.05,-109.91,2652,Park,862
SNTL,WY,timber creek ,Rose Creek-Greybull River (100800090210),1967-08-01,2023-05-07,44.03,-109.18,2423,Park,819
SNTL,AZ,baker butte ,Pine Creek (150602030206),1965-10-01,2023-05-07,34.46,-111.41,2244,Coconino,308
SNTL,MT,black pine ,Marshall Creek (170102020203),1965-10-01,2023-05-07,46.41,-113.43,2198,Granite,349
SNTL,MT,combination ,Upper South Fork Lower Middle Creek (170102020401),1965-10-01,2023-05-07,46.47,-113.39,1707,Granite,410
SNTL,MT,peterson meadows ,Silver Lake (170102020101),1965-10-01,2023-05-07,46.13,-113.31,2195,Granite,930
SNTL,MT,shower falls ,Upper Hyalite Creek (100200081001),1964-10-01,2023-05-07,45.4,-110.96,2469,Gallatin,754
SNTL,MT,lick creek ,Upper Hyalite Creek (100200081001),1963-10-01,2023-05-07,45.5,-110.97,2091,Gallatin,578
SNTL,WY,elkhart park g.s. ,Lake Creek (140401020103),1963-10-01,2023-05-07,43.01,-109.76,2865,Sublette,468
SNTL,WY,kelley r.s. ,Upper Dry Muddy Creek (140401070501),1963-10-01,2023-05-07,42.27,-110.8,2493,Lincoln,554
SNTL,AZ,mormon mountain ,Mormon Lake (150200150201),1963-01-01,2023-05-07,34.94,-111.52,2286,Coconino,640
SNTL,CO,berthoud summit ,Upper Fraser River (140100010202),1963-09-01,2023-05-07,39.8,-105.78,3449,Grand,335
SNTL,WY,big sandy opening ,Black Joe Creek-Big Sandy River (140401040101),1963-03-01,2023-05-07,42.65,-109.26,2768,Sublette,342
SNTL,WY,brooklyn lake ,Spring Creek (101800100502),1962-10-01,2023-05-07,41.36,-106.23,3124,Albany,367
SNTL,WY,lewis lake divide ,Basin Creek-Snake River (170401010104),1963-09-01,2023-05-07,44.21,-110.67,2393,Teton,577
SNTL,WY,casper mtn. ,Pratts Soda Lakes (101800070804),1962-01-01,2023-05-07,42.73,-106.32,2414,Natrona,389
SNTL,WY,grassy lake ,Mountain Ash Creek (170402030202),1962-09-01,2023-05-07,44.13,-110.83,2214,Teton,499
SNTL,WY,north french creek ,Encampment River-West Fork (101800020502),1962-09-01,2023-05-07,41.33,-106.38,3095,Carbon,668
SNTL,WY,old battle ,Upper Sage Creek (101800020901),1962-09-01,2023-05-07,41.15,-106.97,3005,Carbon,673
SNTL,MT,cole creek ,Skunk Creek-Clarks Fork Yellowstone Creek (100700060801),1960-10-01,2023-05-07,45.19,-109.35,2393,Carbon,407
SNTL,MT,lakeview ridge ,Odell Creek (100200010105),1960-10-01,2023-05-07,44.59,-111.82,2256,Beaverhead,568
SNTL,MT,moss peak ,Polson (170102080404),1961-04-01,2023-05-07,47.68,-113.96,2067,Lake,646
SNTL,MT,noisy basin ,Lower Ashley Creek (170102080208),1961-04-01,2023-05-07,48.16,-113.95,1841,Flathead,664
SNTL,MT,north fork jocko ,Middle Fork Jocko River (170102120702),1961-04-01,2023-05-07,47.27,-113.76,1929,Missoula,667
SNTL,MT,pike creek ,Upper South Fork Two Medicine River (100302010103),1960-10-01,2023-05-07,48.3,-113.33,1807,Pondera,693
SNTL,WY,canyon ,Upper Slough Creek (100700010705),1960-10-01,2023-05-07,44.72,-110.51,2399,Park,384
SNTL,WY,togwotee pass ,Upper Horse Creek (100800010201),1960-10-01,2023-05-07,43.75,-110.06,2920,Teton,822
SNTL,WY,salt river summit ,Upper Crow Creek (170401050101),1959-10-01,2023-05-07,42.51,-110.91,2329,Lincoln,730
SNTL,AZ,hannagan meadows ,Upper Beaver Creek (150601010107),1956-10-01,2023-05-07,33.65,-109.31,2751,Greenlee,511
SNTL,AZ,heber ,West Fork Black Canyon (150200100201),1953-10-01,2023-05-07,34.31,-110.75,2333,Coconino,519
SNTL,AZ,maverick fork ,Upper West Fork Black River (150601010104),1953-10-01,2023-05-07,33.92,-109.46,2810,Apache,617
SNTL,AZ,baldy ,Hall Creek-Little Colorado River (150200010203),1949-11-01,2023-05-07,33.98,-109.5,2811,Apache,310
SNTL,WY,powder river pass ,Bud Kimball Creek (100800080304),1949-10-01,2023-05-07,44.16,-107.13,2890,Johnson,703
SNTL,AZ,workman creek ,Workman Creek (150601030802),1938-12-01,2023-05-07,33.81,-110.92,2143,Gila,877
SNTL,MT,northeast entrance ,Cold Creek (100700010602),1937-10-01,2023-05-07,45.01,-110.01,2240,Yellowstone National Park,670
